num_points,iters_per_fit,learning_rate,path
4, 50, 0.05, gcn_poisson_2d_expts/out000/
4, 50, 0.005, gcn_poisson_2d_expts/out001/
4, 50, 0.001, gcn_poisson_2d_expts/out002/
4, 50, 0.0005, gcn_poisson_2d_expts/out003/
4, 100, 0.05, gcn_poisson_2d_expts/out004/
4, 100, 0.005, gcn_poisson_2d_expts/out005/
4, 100, 0.001, gcn_poisson_2d_expts/out006/
4, 100, 0.0005, gcn_poisson_2d_expts/out007/
4, 200, 0.05, gcn_poisson_2d_expts/out008/
4, 200, 0.005, gcn_poisson_2d_expts/out009/
4, 200, 0.001, gcn_poisson_2d_expts/out010/
4, 200, 0.0005, gcn_poisson_2d_expts/out011/
4, 500, 0.05, gcn_poisson_2d_expts/out012/
4, 500, 0.005, gcn_poisson_2d_expts/out013/
4, 500, 0.001, gcn_poisson_2d_expts/out014/
4, 500, 0.0005, gcn_poisson_2d_expts/out015/
8, 50, 0.05, gcn_poisson_2d_expts/out016/
8, 50, 0.005, gcn_poisson_2d_expts/out017/
8, 50, 0.001, gcn_poisson_2d_expts/out018/
8, 50, 0.0005, gcn_poisson_2d_expts/out019/
8, 100, 0.05, gcn_poisson_2d_expts/out020/
8, 100, 0.005, gcn_poisson_2d_expts/out021/
8, 100, 0.001, gcn_poisson_2d_expts/out022/
8, 100, 0.0005, gcn_poisson_2d_expts/out023/
8, 200, 0.05, gcn_poisson_2d_expts/out024/
8, 200, 0.005, gcn_poisson_2d_expts/out025/
8, 200, 0.001, gcn_poisson_2d_expts/out026/
8, 200, 0.0005, gcn_poisson_2d_expts/out027/
8, 500, 0.05, gcn_poisson_2d_expts/out028/
8, 500, 0.005, gcn_poisson_2d_expts/out029/
8, 500, 0.001, gcn_poisson_2d_expts/out030/
8, 500, 0.0005, gcn_poisson_2d_expts/out031/
16, 50, 0.05, gcn_poisson_2d_expts/out032/
16, 50, 0.005, gcn_poisson_2d_expts/out033/
16, 50, 0.001, gcn_poisson_2d_expts/out034/
16, 50, 0.0005, gcn_poisson_2d_expts/out035/
16, 100, 0.05, gcn_poisson_2d_expts/out036/
16, 100, 0.005, gcn_poisson_2d_expts/out037/
16, 100, 0.001, gcn_poisson_2d_expts/out038/
16, 100, 0.0005, gcn_poisson_2d_expts/out039/
16, 200, 0.05, gcn_poisson_2d_expts/out040/
16, 200, 0.005, gcn_poisson_2d_expts/out041/
16, 200, 0.001, gcn_poisson_2d_expts/out042/
16, 200, 0.0005, gcn_poisson_2d_expts/out043/
16, 500, 0.05, gcn_poisson_2d_expts/out044/
16, 500, 0.005, gcn_poisson_2d_expts/out045/
16, 500, 0.001, gcn_poisson_2d_expts/out046/
16, 500, 0.0005, gcn_poisson_2d_expts/out047/
